W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000670,KIRALA 2,"1511-D SHATTUCK AVE
BERKELEY, CA
(37.879781, -122.269181)",01/07/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000300,ESPRESSO ROMA/C'EST CAFï¿½,"2490 BANCROFT WY
BERKELEY, CA
(37.868697, -122.259321)",01/10/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001592,LITTLE GEM BELGIAN WAFFLES,"2468-A TELEGRAPH AVE
BERKELEY, CA
(37.865706, -122.258559)",11/23/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000514,INT'L SOCIETY FOR KRISHNA,"2334 STUART ST
BERKELEY, CA
(37.859388, -122.260372)",08/24/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000073,SOL Y LUNA,"1926 SHATTUCK AVE
BERKELEY, CA
(37.87335, -122.268574)",02/25/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001541,MELOMELO KAVA BAR,"1701 UNIVERSITY AVE
BERKELEY, CA
(37.871072, -122.277225)",11/18/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001557,HIGHWIRE COFFEE ROASTERS,"2049 SAN PABLO AVE
BERKELEY, CA
(37.868619, -122.291899)",03/29/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000474,HONG DU UNOCAL,"901 ASHBY AVE
BERKELEY, CA
(37.851128, -122.290812)",03/27/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001260,SUBWAY #46673,"2929 9TH ST
BERKELEY, CA
(37.851837, -122.289453)",12/19/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001295,RELISH CATERING,"2701 8TH ST
BERKELEY, CA
(37.856884, -122.291822)",05/09/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000596,BERKELEY ESPRESSO,"1900 SHATTUCK AVE
BERKELEY, CA
(37.873687, -122.268616)",09/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000074,THAI NOODLE,"1936 SHATTUCK AVE
BERKELEY, CA
(37.873227, -122.268562)",10/27/2015,0,1,0,0,0,0,0,1,0,0,05/16/2016 05:00:02 AM
FA0000775,SWEET LEAF,"2468 TELEGRAPH AVE
BERKELEY, CA
(37.865706, -122.258559)",05/11/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000118,DA LIAN RESTAURANT,"1674 SHATTUCK AVE
BERKELEY, CA
(37.877056, -122.269009)",02/23/2016,0,1,0,0,0,0,0,1,0,0,05/16/2016 05:00:02 AM
FA0000661,CAFFE TRIESTE,"2500 SAN PABLO AVE SW
BERKELEY, CA
(37.861078, -122.289632)",12/02/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000035,FREIGHT & SALVAGE COFFEE HOUSE,"2020 ADDISON ST
BERKELEY, CA
(37.870994, -122.269645)",09/15/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001601,BERKELEY SPORTSMAN CENTER,"225 UNIVERSITY AVE
BERKELEY, CA
(37.865451, -122.310259)",12/07/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000607,SUBWAY,"1101 UNIVERSITY AVE
BERKELEY, CA
(37.869197, -122.291765)",08/13/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000539,7-ELEVEN #16192  1099/1615,"2887 COLLEGE AVE
BERKELEY, CA
(37.858756, -122.253219)",01/02/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001009,TROY,"2985 COLLEGE AVE
BERKELEY, CA
(37.856469, -122.252992)",03/20/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000779,CAMPUS MINI MART  1099/1615,"2200 DURANT AVE
BERKELEY, CA
(37.866969, -122.26553)",03/21/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000328,SATURN CAFE,"2175 ALLSTON WY
BERKELEY, CA
(37.86961, -122.266328)",08/05/2015,0,1,0,0,0,0,0,1,0,0,05/16/2016 05:00:02 AM
FA0000218,SOLANO 76  1099/1614,"1830 SOLANO AVE
BERKELEY, CA
(37.891387, -122.278913)",09/22/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001438,DOUBLETREE CAFE,"200 MARINA BLVD
BERKELEY, CA
(37.868667, -122.313656)",01/13/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000436,CAFE NEFELI,"1854 EUCLID AVE
BERKELEY, CA
(37.875666, -122.260259)",11/30/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000561,TOMATE CAFE,"2265 FIFTH ST
BERKELEY, CA
(37.8636, -122.297484)",01/14/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001552,FACE TO FACE,"2109 MILVIA ST
BERKELEY, CA
(37.870688, -122.270619)",12/28/2015,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001602,SHARE TIME,"1938 SHATTUCK AVE
BERKELEY, CA
(37.873073, -122.268549)",02/02/2016,0,0,0,0,0,0,0,1,0,0,05/16/2016 05:00:03 AM
FA0000647,SO. BERKELEY COMMUNITY CHURCH,"1802 FAIRVIEW ST
BERKELEY, CA
(37.850436, -122.272589)",10/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000620,REVIVAL BAR & KITCHEN,"2102 SHATTUCK AVE
BERKELEY, CA
(37.871129, -122.268282)",07/08/2015,0,0,0,0,0,0,0,1,0,0,05/16/2016 05:00:02 AM
FA0001465,SALT AND HONEY LLC,"1451 5TH ST
BERKELEY, CA
(37.875442, -122.301324)",09/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001598,MUSASHI CORP. C/O TOKYO FISH MARKET,"1222 SAN PABLO AVE
BERKELEY, CA
(37.850666, -122.285414)",02/04/2016,0,1,0,0,0,0,0,1,0,0,05/16/2016 05:00:03 AM
FA0000008,GALLEGOS MEXICAN FOOD,"2200 SAN PABLO AVE
BERKELEY, CA
(37.866231, -122.291299)",03/10/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000538,MUDRACKERS,"2801 TELEGRAPH AVE
BERKELEY, CA
(37.859481, -122.25918)",10/20/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001417,PIPELINE CAFE,"2131 DURANT AVE
BERKELEY, CA
(37.866846, -122.266434)",06/23/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000089,THREE STONE HEARTH COMM. KITCHEN,"1581 UNIVERSITY AVE
BERKELEY, CA
(37.870631, -122.280653)",01/27/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000662,WATERSIDE WORKSHOPS CAFE,"84 BOLIVAR DR
BERKELEY, CA
(37.865718, -122.302106)",11/20/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001053,BERKELEY BOWL WEST #6-MEZZ KITCHEN,"920 HEINZ AVE
BERKELEY, CA
(37.853824, -122.290222)",08/27/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000568,SEABREEZE MARKET & DELI,"598 UNIVERSITY AVE
BERKELEY, CA
(37.866344, -122.305355)",12/02/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001646,JAMBA JUICE,"2514 BANCROFT WAY
BERKELEY, CA
(37.868774, -122.258716)",,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000175,LA PALMITA,"1335 SAN PABLO AVE
BERKELEY, CA
(37.87951, -122.295434)",03/23/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000260,BERKELEY PRODUCE CENTER,"1500 SHATTUCK AVE
BERKELEY, CA
(37.880227, -122.26936)",08/27/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000793,LIK LIQUORS,"2495 SACRAMENTO ST
BERKELEY, CA
(37.862346, -122.28105)",04/20/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000056,THE JUPITER,"2181 SHATTUCK AVE
BERKELEY, CA
(37.869832, -122.267846)",01/20/2016,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000252,SUSHI CALIFORNIA,"2033 M L KING JR WY
BERKELEY, CA
",07/08/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001644,NEIGHBORS MARKET,"1343 MLK JR WAY
BERKELEY, CA
",,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000124,BERKELEY FARMERS MARKET,"0 FARMERS MKT - SHATTUCK AVE
BERKELEY, CA
",03/31/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000814,BERKELEY FARMERS MARKET,"0 ADELINE ST
BERKELEY, CA
",09/09/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000481,ASHBY SUPERMARKET 1099/1643,"2948 M L KING JR WY
BERKELEY, CA
",10/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000208,XTRA OIL CO/CHEVRON/THE ALAM,"1201 THE
BERKELEY, CA
",11/28/2012,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000193,FAT APPLE'S INC.,"1346 M L KING JR WY
BERKELEY, CA
",10/22/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001576,BEN & LILY CAFE,"2080 MLK JR WAY
BERKELEY, CA
",03/17/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000484,NINO'S,"1916 M L KING JR WY
BERKELEY, CA
",01/29/2016,0,1,0,0,0,0,0,1,0,0,05/16/2016 05:00:02 AM
FA0000087,#1 GAS  1099/1616,"1900 M L KING JR WY
BERKELEY, CA
",08/24/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001000,CITY LEES MARKET  1099/1615,"2700 M L KING JR WAY
BERKELEY, CA
",12/07/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001521,SAN FRANCISCO CREPE COMPANY,"2125 UNIVERSITY AVE
BERKELEY, CA
(37.87232, -122.267358)",03/04/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001108,UNIVERSITY LUTHERAN CHAPEL OF BERKELEY,"2425 COLLEGE AVE
BERKELEY, CA
(37.866706, -122.25411)",03/16/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001482,FRANKLIN BROS. MARKET,"901 BANCROFT WAY
BERKELEY, CA
(37.863763, -122.29503)",12/02/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000372,SCONEHENGE BAKERY CAFE,"2787 SHATTUCK AVE
BERKELEY, CA
(37.858979, -122.266955)",05/04/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000253,CAFE RIO,"2146 CENTER ST
BERKELEY, CA
(37.870498, -122.266662)",02/05/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000183,ESPRESSO ROMA,"1549 HOPKINS ST
BERKELEY, CA
(37.881532, -122.282225)",01/07/2016,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001280,THE SANDWICH SPOT,"2106 SHATTUCK AVE
BERKELEY, CA
(37.871054, -122.268275)",03/11/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000930,GORDO TAQUERIA #7,"2404 TELEGRAPH AVE
BERKELEY, CA
(37.866781, -122.258783)",02/29/2016,1,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000215,ZACHARY'S CHICAGO PIZZA,"1853 SOLANO AVE
BERKELEY, CA
(37.89141, -122.278507)",12/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001515,DOMINO'S PIZZA,"3264 ADELINE ST
BERKELEY, CA
(37.849142, -122.271362)",10/19/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001198,DOMINO'S PIZZA,"2127 UNIVERSITY AVE
BERKELEY, CA
(37.872291, -122.267582)",10/15/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000261,BOMBAY SPICE HOUSE,"1036 UNIVERSITY AVE
BERKELEY, CA
(37.868808, -122.293345)",07/08/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000071,BISTRO LIASION,"1849 SHATTUCK AVE
BERKELEY, CA
(37.87418, -122.268562)",02/29/2016,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001156,KIKU SUSHI,"1316 GILMAN ST
BERKELEY, CA
(37.881291, -122.28936)",02/02/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001310,LE PETIT COCHON,"1801-C SHATTUCK AVE
BERKELEY, CA
(37.87455, -122.268609)",10/22/2015,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000622,STANFORD LIQUOR,"3400 ADELINE ST
BERKELEY, CA
(37.846373, -122.272844)",12/21/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001656,J-TOWN EXPRESS,"2332 TELEGRAPH AVE
BERKELEY, CA
(37.868115, -122.259059)",,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001115,"SIMPLY GREEK 3, INC.","2929 SHATTUCK AVE
BERKELEY, CA
(37.855696, -122.26655)",11/04/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000199,TRATTORIA LA SICILLIAN,"2993 COLLEGE AVE
BERKELEY, CA
(37.856327, -122.252978)",09/01/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000533,CHINESE EXPRESS,"2488 CHANNING WY
BERKELEY, CA
(37.8669, -122.258955)",12/09/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001599,HERB 'N CHICKEN,"1511 SHATTUCK AVE
BERKELEY, CA
(37.879781, -122.269181)",12/07/2015,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001319,IYASARE,"1830 4TH ST
BERKELEY, CA
(37.86939, -122.300453)",01/23/2011,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001466,AIDELLS SAUSAGE,"2940 7TH ST
BERKELEY, CA
(37.851758, -122.291324)",03/26/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000013,PRIYA SO. & NO. INDIAN CUISINE,"2072 SAN PABLO AVE
BERKELEY, CA
(37.868208, -122.291934)",02/20/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001506,ELEMENTS PETROLEUM INC.,"833 UNIVERSITY AVE
BERKELEY, CA
(37.868088, -122.297432)",03/25/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000185,SWEET DREAMS,"2901 COLLEGE AVE
BERKELEY, CA
(37.858309, -122.253174)",08/05/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000014,LANESPLITTER PUB,"2033 SAN PABLO AVE
BERKELEY, CA
(37.868537, -122.291872)",01/23/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000110,MANHATTAN BAGEL,"1789 FOURTH ST
BERKELEY, CA
(37.870259, -122.300739)",07/09/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000202,HANA JAPAN STEAK HOUSE,"235 UNIVERSITY AVE
BERKELEY, CA
(37.865611, -122.308575)",11/30/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000108,TEANCE FINE TEAS,"1780 4TH ST
BERKELEY, CA
(37.870426, -122.300792)",10/27/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000281,U.S. LIQUOR 1099/1616,"2997 SACRAMENTO ST
BERKELEY, CA
(37.853326, -122.278951)",09/24/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000782,NANAYIRO RESTAURANT,"2399 SHATTUCK AVE
BERKELEY, CA
(37.866024, -122.267537)",01/29/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001218,MOXY,"3136 SACRAMENTO ST
BERKELEY, CA
(37.850626, -122.278453)",03/27/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000679,PANCHO'S MEXICAN RESTAURANT,"2521-B DURANT AVE
BERKELEY, CA
(37.867947, -122.257926)",11/18/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000389,PEET'S COFFEE & TEA/DOM,"2916 DOMINGO AVE
BERKELEY, CA
(37.858739, -122.243947)",04/22/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000201,LA MEDITERRANEE,"2936 COLLEGE AVE
BERKELEY, CA
(37.857596, -122.253106)",08/14/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000636,BROOM BUSH CAFE,"2725 SAN PABLO AVE
BERKELEY, CA
(37.856746, -122.28809)",08/11/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001433,FRESH & BEST RESTAURANT,"2924 DOMINGO AVE
BERKELEY, CA
(37.858657, -122.243934)",12/10/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001202,FRESCO MEXICAN GRILL,"2177-A SHATTUCK AVE
BERKELEY, CA
(37.869854, -122.267845)",02/18/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001363,TEA FRAGRANCE HOUSE,"1301 SAN PABLO AVE
BERKELEY, CA
(37.880319, -122.295692)",03/09/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001634,SMART MART,"1951 SHATTUCK AVE
BERKELEY, CA
(37.872855, -122.268473)",,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000957,WALGREENS #13858/1607SHA,"1607 SHATTUCK AVE
BERKELEY, CA
(37.878009, -122.268988)",09/08/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001315,JERRY'S JAVA JOASIS,"1701 SAN PABLO AVE
BERKELEY, CA
(37.873455, -122.293465)",02/04/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001511,SMOKE'S POUTINERIE,"2518-A DURANT AVE
BERKELEY, CA
(37.867905, -122.258265)",01/20/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001476,YOLO BERRY YOGURT,"2114 SHATTUCK AVE
BERKELEY, CA
(37.870904, -122.268262)",03/28/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0001566,THE TAP HAUS,"2516-B DURANT AVE
BERKELEY, CA
(37.867912, -122.25821)",02/10/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000080,NORTH BERKELEY SENIOR CENTER,"1901 HEARST AVE
BERKELEY, CA
(37.873409, -122.272686)",02/05/2016,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0001005,TIVOLI CAFE,"2554 BANCROFT WAY
BERKELEY, CA
(37.868875, -122.257891)",01/06/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000140,GREGOIRE'S,"2109 CEDAR ST
BERKELEY, CA
(37.878492, -122.268501)",10/08/2015,0,1,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000588,HS LORDSHIPS,"199 SEAWALL DR
BERKELEY, CA
(37.859769, -122.316344)",05/13/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000986,PHIL'S SLIDER,"2024 SHATTUCK AVE
BERKELEY, CA
(37.871524, -122.268345)",02/17/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000540,GOODSONS/GNC,"2165 SHATTUCK AVE
BERKELEY, CA
(37.869781, -122.26785)",08/12/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
FA0000857,HISSHO SUSHI,"1550 SHATTUCK AVE
BERKELEY, CA
(37.878925, -122.269199)",10/21/2015,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:03 AM
FA0000097,EVERETT & JONES BARBECUE,"1955 SAN PABLO AVE
BERKELEY, CA
(37.869706, -122.292258)",11/20/2014,0,0,0,0,0,0,0,0,0,0,05/16/2016 05:00:02 AM
