Facility Name,Activity Date,Service,Violation Description,Grade,Location
 STARBUCK   SAFEWAY #910,07/25/2013,111,"Equipment, utensils and linens: storage and use",,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
 STARBUCK   SAFEWAY #910,07/25/2013,111,Wiping cloths: properly used and stored,,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
 STARBUCK   SAFEWAY #910,10/22/2014,111,Adequate handwashing facilities supplied & accessi,G,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
 STARBUCK   SAFEWAY #910,10/22/2014,111,Equipment/Utensils - approved installed clean g,G,"1554 FIRST ST
LIVERMORE, CA 94550
(37.67930642, -121.7765857)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,Food separated and protected,G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,Premises personal/cleaning items vermin-proofing,G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,"Proper eating, tasting, drinking or tobacco use",G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,01/09/2013,111,Proper hot and cold holding temperatures,G,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,06/01/2012,111,Adequate handwashing facilities supplied & accessi,,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,06/01/2012,111,Hands clean and properly washed gloves used prope,,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 ASIAN EXPRESS FOOD,06/01/2012,111,Proper hot and cold holding temperatures,,"138 14TH ST
OAKLAND, CA 94612
(37.80140803, -122.26369831)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Equipment/Utensils - approved installed clean g,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Food contact surfaces: clean and sanitized,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Food storage food storage containers identified,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Plumbing proper backflow devices,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2013,111,Wiping cloths: properly used and stored,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,Demonstration of knowledge food manager certifica,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,"Equipment, utensils and linens: storage and use",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,Nonfood-contact surfaces clean,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,Proper hot and cold holding temperatures,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,01/02/2014,111,"Warewashing facilities: installed, maintained, use",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,07/10/2014,111,"Equipment, utensils and linens: storage and use",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,07/10/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968061, -122.19690846)"
#1 SEAFOOD AND CHICKEN,10/29/2015,111,Food contact surfaces: clean and sanitized,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968557, -122.19692165)"
#1 SEAFOOD AND CHICKEN,03/18/2016,111,"No rodents, insects, birds, or animals",G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968557, -122.19692165)"
#1 SEAFOOD AND CHICKEN,03/18/2016,111,Proper hot and cold holding temperatures,G,"4014 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78968557, -122.19692165)"
1/3 LB GIANT BURGER,11/18/2013,111,Food contact surfaces: clean and sanitized,,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,11/18/2013,111,Hot and cold water available,,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,11/18/2013,111,Person in charge present and performs duties,,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,11/18/2013,111,Premises personal/cleaning items vermin-proofing,,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,11/18/2013,111,Proper hot and cold holding temperatures,,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,11/18/2013,111,"Warewashing facilities: installed, maintained, use",,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,11/18/2013,111,Wiping cloths: properly used and stored,,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,"Equipment, utensils and linens: storage and use",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,Food contact surfaces: clean and sanitized,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,"Food in good condition, safe and unadulterated",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,Premises personal/cleaning items vermin-proofing,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,Proper hot and cold holding temperatures,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/07/2014,111,Wiping cloths: properly used and stored,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,Equipment/Utensils - approved installed clean g,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,Food contact surfaces: clean and sanitized,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,Hands clean and properly washed gloves used prope,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,Premises personal/cleaning items vermin-proofing,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,Proper hot and cold holding temperatures,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,10/24/2014,111,Wiping cloths: properly used and stored,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,03/20/2015,111,Adequate handwashing facilities supplied & accessi,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59340211, -122.04376358)"
1/3 LB GIANT BURGER,03/20/2015,111,Proper hot and cold holding temperatures,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59340211, -122.04376358)"
1/3 LB GIANT BURGER,03/20/2015,111,Thermometers provided and accurate,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59340211, -122.04376358)"
1/3 LB GIANT BURGER,03/20/2015,111,"Warewashing facilities: installed, maintained, use",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59340211, -122.04376358)"
1/3 LB GIANT BURGER,03/20/2015,111,Wiping cloths: properly used and stored,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59340211, -122.04376358)"
1/3 LB GIANT BURGER,09/26/2012,111,Adequate ventilation and lighting designated area,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,09/26/2012,111,"Equipment, utensils and linens: storage and use",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,09/26/2012,111,Equipment/Utensils - approved installed clean g,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,09/26/2012,111,Food contact surfaces: clean and sanitized,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,09/26/2012,111,Plumbing proper backflow devices,G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/3 LB GIANT BURGER,09/26/2012,111,"Warewashing facilities: installed, maintained, use",G,"33592 ALVARADO NILES RD UNION
CITY, CA 94587
(37.59339716, -122.04375044)"
1/4 LB GIANT BURGER 3,11/06/2012,111,Adequate handwashing facilities supplied & accessi,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,11/06/2012,111,Demonstration of knowledge food manager certifica,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,11/06/2012,111,Proper hot and cold holding temperatures,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,07/22/2013,111,"Equipment, utensils and linens: storage and use",G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,07/22/2013,111,Proper hot and cold holding temperatures,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,10/16/2013,111,Adequate handwashing facilities supplied & accessi,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,10/16/2013,111,Food contact surfaces: clean and sanitized,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,12/04/2014,111,Demonstration of knowledge food manager certifica,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,03/27/2013,111,Adequate handwashing facilities supplied & accessi,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,03/27/2013,111,"No rodents, insects, birds, or animals",G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,03/27/2013,111,Proper hot and cold holding temperatures,G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
1/4 LB GIANT BURGER 3,03/27/2013,111,"Toilet facilities: properly constructed, supplied,",G,"2055 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80075703, -122.21780662)"
"1/4 LB GIANT BURGER, #9",07/10/2013,111,Demonstration of knowledge food manager certifica,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",07/10/2013,111,"Equipment, utensils and linens: storage and use",G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",07/10/2013,111,Proper hot and cold holding temperatures,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",03/05/2015,111,Adequate handwashing facilities supplied & accessi,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033772, -122.26938754)"
"1/4 LB GIANT BURGER, #9",03/05/2015,111,Demonstration of knowledge food manager certifica,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033772, -122.26938754)"
"1/4 LB GIANT BURGER, #9",03/05/2015,111,"Floors, walls and ceilings: built, maintained, and",G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033772, -122.26938754)"
"1/4 LB GIANT BURGER, #9",03/05/2015,111,"Toilet facilities: properly constructed, supplied,",G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033772, -122.26938754)"
"1/4 LB GIANT BURGER, #9",04/08/2013,111,Nonfood-contact surfaces clean,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",04/08/2013,111,Plumbing proper backflow devices,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",04/08/2013,111,Premises personal/cleaning items vermin-proofing,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",04/08/2013,111,Proper hot and cold holding temperatures,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",04/08/2013,111,"Warewashing facilities: installed, maintained, use",G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",04/08/2013,111,Wiping cloths: properly used and stored,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",08/22/2012,111,Equipment/Utensils - approved installed clean g,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",08/22/2012,111,Plumbing proper backflow devices,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",08/22/2012,111,Premises personal/cleaning items vermin-proofing,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",08/22/2012,111,Proper hot and cold holding temperatures,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",08/22/2012,111,Thermometers provided and accurate,G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
"1/4 LB GIANT BURGER, #9",08/22/2012,111,"Warewashing facilities: installed, maintained, use",G,"2150 TELEGRAPH AVE
OAKLAND, CA 94612
(37.81033276, -122.26937435)"
1/4 LB GIANT BURGER,01/09/2013,111,Equipment/Utensils - approved installed clean g,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Food contact surfaces: clean and sanitized,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Garbage and refuse properly disposed facilities m,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Person in charge present and performs duties,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Proper hot and cold holding temperatures,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Signs posted last inspection report available,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Thermometers provided and accurate,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,"Warewashing facilities: installed, maintained, use",G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,01/09/2013,111,Wiping cloths: properly used and stored,G,"4215 MACARTHUR BLVD
OAKLAND, CA 94619
(37.78911202, -122.19642983)"
1/4 LB GIANT BURGER,11/13/2013,111,Adequate ventilation and lighting designated area,y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
1/4 LB GIANT BURGER,11/13/2013,111,Demonstration of knowledge food manager certifica,y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
1/4 LB GIANT BURGER,11/13/2013,111,Equipment/Utensils - approved installed clean g,y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
1/4 LB GIANT BURGER,11/13/2013,111,"Floors, walls and ceilings: built, maintained, and",y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
1/4 LB GIANT BURGER,11/13/2013,111,Food contact surfaces: clean and sanitized,y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
1/4 LB GIANT BURGER,11/13/2013,111,Garbage and refuse properly disposed facilities m,y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
1/4 LB GIANT BURGER,11/13/2013,111,Hands clean and properly washed gloves used prope,y,"5325 SAN PABLO AVE
OAKLAND, CA 94608
(37.83807708, -122.28215656)"
