Facility Name,Activity Date,Service,Violation Description,Grade,Location
10TH & WOOD,06/19/2015,111,"Floors, walls and ceilings: built, maintained, and",G,"945 WOOD ST
OAKLAND, CA 94607
(37.8095313, -122.30085225)"
10TH & WOOD,06/19/2015,111,Garbage and refuse properly disposed facilities m,G,"945 WOOD ST
OAKLAND, CA 94607
(37.8095313, -122.30085225)"
10TH & WOOD,06/19/2015,111,Nonfood-contact surfaces clean,G,"945 WOOD ST
OAKLAND, CA 94607
(37.8095313, -122.30085225)"
10TH & WOOD,06/19/2015,111,Plumbing proper backflow devices,G,"945 WOOD ST
OAKLAND, CA 94607
(37.8095313, -122.30085225)"
10TH & WOOD,06/19/2015,111,Premises personal/cleaning items vermin-proofing,G,"945 WOOD ST
OAKLAND, CA 94607
(37.8095313, -122.30085225)"
10TH & WOOD,06/19/2015,111,Signs posted last inspection report available,G,"945 WOOD ST
OAKLAND, CA 94607
(37.8095313, -122.30085225)"
10TH AND WOOD,10/24/2014,111,"Equipment, utensils and linens: storage and use",Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Garbage and refuse properly disposed facilities m,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Hands clean and properly washed gloves used prope,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,"No rodents, insects, birds, or animals",Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Plumbing proper backflow devices,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Proper hot and cold holding temperatures,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Signs posted last inspection report available,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Thermometers provided and accurate,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,"Toilet facilities: properly constructed, supplied,",Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/24/2014,111,Wiping cloths: properly used and stored,Y,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/26/2014,131,Equipment/Utensils - approved installed clean g,G,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/26/2014,131,"Floors, walls and ceilings: built, maintained, and",G,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/26/2014,131,"No rodents, insects, birds, or animals",G,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
10TH AND WOOD,10/26/2014,131,Signs posted last inspection report available,G,"945 WOOD ST
OAKLAND, CA 94607
(37.80952634, -122.30083905)"
1400 BAR & GRILL,10/11/2012,111,"Equipment, utensils and linens: storage and use",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/11/2012,111,Food contact surfaces: clean and sanitized,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/11/2012,111,Food storage food storage containers identified,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/11/2012,111,Proper hot and cold holding temperatures,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/11/2012,111,"Toilet facilities: properly constructed, supplied,",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/11/2012,111,Wiping cloths: properly used and stored,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/01/2013,111,Food contact surfaces: clean and sanitized,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/01/2013,111,Proper hot and cold holding temperatures,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,10/01/2013,111,"Warewashing facilities: installed, maintained, use",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,08/05/2014,111,"Food in good condition, safe and unadulterated",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,08/05/2014,111,Food storage food storage containers identified,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,08/05/2014,111,Nonfood-contact surfaces clean,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,08/05/2014,111,Signs posted last inspection report available,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,08/05/2014,111,"Toilet facilities: properly constructed, supplied,",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,05/27/2015,111,Adequate ventilation and lighting designated area,,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199805, -122.27685376)"
1400 BAR & GRILL,05/27/2015,111,Food contact surfaces: clean and sanitized,,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199805, -122.27685376)"
1400 BAR & GRILL,03/15/2016,111,Adequate handwashing facilities supplied & accessi,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199805, -122.27685376)"
1400 BAR & GRILL,03/15/2016,111,Food contact surfaces: clean and sanitized,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199805, -122.27685376)"
1400 BAR & GRILL,03/15/2016,111,"Toilet facilities: properly constructed, supplied,",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199805, -122.27685376)"
1400 BAR & GRILL,03/15/2016,111,"Warewashing facilities: installed, maintained, use",G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199805, -122.27685376)"
1400 BAR & GRILL,04/16/2013,111,Adequate handwashing facilities supplied & accessi,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,04/16/2013,111,Food contact surfaces: clean and sanitized,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,04/16/2013,111,Food storage food storage containers identified,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,04/16/2013,111,Premises personal/cleaning items vermin-proofing,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
1400 BAR & GRILL,04/16/2013,111,Proper hot and cold holding temperatures,G,"1400 WEBSTER ST
ALAMEDA, CA 94501
(37.77199309, -122.27684057)"
16 DE SEP TAQUERIA,02/05/2014,111,Demonstration of knowledge food manager certifica,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,02/05/2014,111,Food contact surfaces: clean and sanitized,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,02/05/2014,111,Garbage and refuse properly disposed facilities m,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,02/05/2014,111,Nonfood-contact surfaces clean,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,02/05/2014,111,Proper hot and cold holding temperatures,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,02/05/2014,111,Thermometers provided and accurate,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,02/05/2014,111,"Toilet facilities: properly constructed, supplied,",G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(0.0, 0.0)"
16 DE SEP TAQUERIA,08/06/2014,111,"Equipment, utensils and linens: storage and use",Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,08/06/2014,111,Proper hot and cold holding temperatures,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,11/18/2015,111,Food contact surfaces: clean and sanitized,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670962, -122.22392917)"
16 DE SEP TAQUERIA,11/18/2015,111,"Food in good condition, safe and unadulterated",G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670962, -122.22392917)"
16 DE SEP TAQUERIA,03/30/2016,111,Food contact surfaces: clean and sanitized,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670962, -122.22392917)"
16 DE SEP TAQUERIA,03/29/2013,111,Demonstration of knowledge food manager certifica,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Food contact surfaces: clean and sanitized,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Food separated and protected,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Proper cooling methods,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Proper hot and cold holding temperatures,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Signs posted last inspection report available,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Thermometers provided and accurate,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,"Warewashing facilities: installed, maintained, use",Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,03/29/2013,111,Wiping cloths: properly used and stored,Y,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,04/11/2013,131,Demonstration of knowledge food manager certifica,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,04/11/2013,131,Food contact surfaces: clean and sanitized,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,04/11/2013,131,Hot and cold water available,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
16 DE SEP TAQUERIA,04/11/2013,131,Wiping cloths: properly used and stored,G,"3438 INTERNATIONAL BLVD
OAKLAND, CA 94601
(37.77670466, -122.22391598)"
1812 COFFEE CO.,07/21/2014,111,Adequate handwashing facilities supplied & accessi,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8003541, -122.21610074)"
1812 COFFEE CO.,07/21/2014,111,"Equipment, utensils and linens: storage and use",G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8003541, -122.21610074)"
1812 COFFEE CO.,07/21/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8003541, -122.21610074)"
1812 COFFEE CO.,07/21/2014,111,Hot and cold water available,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8003541, -122.21610074)"
1812 COFFEE CO.,07/21/2014,111,Nonfood-contact surfaces clean,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8003541, -122.21610074)"
1812 COFFEE CO.,07/21/2014,111,Wiping cloths: properly used and stored,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8003541, -122.21610074)"
1812 COFFEE CO.,09/30/2015,111,"Floors, walls and ceilings: built, maintained, and",G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,09/30/2015,111,Food separated and protected,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,09/30/2015,111,Hot and cold water available,,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,09/30/2015,111,Hot and cold water available,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,09/30/2015,111,Wiping cloths: properly used and stored,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,01/26/2016,111,Adequate handwashing facilities supplied & accessi,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,03/31/2016,111,"No rodents, insects, birds, or animals",G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
1812 COFFEE CO.,03/31/2016,111,Proper hot and cold holding temperatures,G,"2224 MACARTHUR BLVD
OAKLAND, CA 94602
(37.80035907, -122.21611392)"
19TH STREET STATION,02/27/2013,111,"Equipment, utensils and linens: storage and use",G,"339 19TH ST
OAKLAND, CA 94612
(37.80677554, -122.26650427)"
19TH STREET STATION,02/27/2013,111,Equipment/Utensils - approved installed clean g,G,"339 19TH ST
OAKLAND, CA 94612
(37.80677554, -122.26650427)"
19TH STREET STATION,10/29/2013,111,Adequate handwashing facilities supplied & accessi,G,"339 19TH ST
OAKLAND, CA 94612
(37.80677554, -122.26650427)"
19TH STREET STATION,10/29/2013,111,Food separated and protected,G,"339 19TH ST
OAKLAND, CA 94612
(37.80677554, -122.26650427)"
19TH STREET STATION,10/29/2013,111,"Warewashing facilities: installed, maintained, use",G,"339 19TH ST
OAKLAND, CA 94612
(37.80677554, -122.26650427)"
19TH STREET STATION,11/03/2014,111,Adequate handwashing facilities supplied & accessi,G,"339 19TH ST
OAKLAND, CA 94612
(37.80677554, -122.26650427)"
19TH STREET STATION,06/09/2015,111,Adequate handwashing facilities supplied & accessi,G,"339 19TH ST
OAKLAND, CA 94612
(37.8067805, -122.26651747)"
19TH STREET STATION,06/09/2015,111,"Floors, walls and ceilings: built, maintained, and",G,"339 19TH ST
OAKLAND, CA 94612
(37.8067805, -122.26651747)"
19TH STREET STATION,06/09/2015,111,"No rodents, insects, birds, or animals",G,"339 19TH ST
OAKLAND, CA 94612
(37.8067805, -122.26651747)"
19TH STREET STATION,06/09/2015,111,Premises personal/cleaning items vermin-proofing,G,"339 19TH ST
OAKLAND, CA 94612
(37.8067805, -122.26651747)"
1ST TREAT YOGURT CORP,10/17/2012,111,"Equipment, utensils and linens: storage and use",G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68135717, -121.7696282)"
1ST TREAT YOGURT CORP,10/17/2012,111,Hot and cold water available,G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68135717, -121.7696282)"
1ST TREAT YOGURT CORP,10/17/2012,111,"No rodents, insects, birds, or animals",G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68135717, -121.7696282)"
1ST TREAT YOGURT CORP,10/17/2012,111,"Toxic substances properly identified, stored, used",G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68135717, -121.7696282)"
1ST TREAT YOGURT CORP,11/12/2014,111,"Floors, walls and ceilings: built, maintained, and",G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68135717, -121.7696282)"
1ST TREAT YOGURT CORP,11/12/2014,111,Signs posted last inspection report available,G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68135717, -121.7696282)"
1ST TREAT YOGURT CORP,10/13/2015,111,Signs posted last inspection report available,G,"2127 FIRST ST
LIVERMORE, CA 94550
(37.68136216, -121.7696413)"
200 UVA LLC,04/12/2013,111,Food contact surfaces: clean and sanitized,G,"200 2ND ST
OAKLAND, CA 94607
(37.7937564, -122.27044449)"
200 UVA LLC,04/12/2013,111,Nonfood-contact surfaces clean,G,"200 2ND ST
OAKLAND, CA 94607
(37.7937564, -122.27044449)"
2101 CLUB,11/06/2012,111,"Equipment, utensils and linens: storage and use",G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,11/06/2012,111,Proper hot and cold holding temperatures,G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,11/06/2012,111,"Toxic substances properly identified, stored, used",G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/22/2013,111,Demonstration of knowledge food manager certifica,G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/22/2013,111,Food contact surfaces: clean and sanitized,G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/22/2013,111,Proper hot and cold holding temperatures,G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,10/22/2013,111,"Equipment, utensils and linens: storage and use",G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,10/22/2013,111,Proper hot and cold holding temperatures,G,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/28/2014,111,Demonstration of knowledge food manager certifica,,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/28/2014,111,"Equipment, utensils and linens: storage and use",,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/28/2014,111,Proper hot and cold holding temperatures,,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
2101 CLUB,07/28/2014,111,"Toilet facilities: properly constructed, supplied,",,"2101 MACARTHUR BLVD
OAKLAND, CA 94602
(37.8006729, -122.21747797)"
216 BEER - UPPER CONCOURSE,10/15/2013,111,Permits Available,G,"7000 COLISEUM WAY
OAKLAND, CA 94621
(37.7515822, -122.20616593)"
216 BEER - UPPER CONCOURSE,05/22/2014,111,Signs posted last inspection report available,G,"7000 COLISEUM WAY
OAKLAND, CA 94621
(37.7515822, -122.20616593)"