business_id,date,code,description,critical

FA0001338,20150311,K047,"Standard not met: Signs posted; last inspection report available",false

FA0000315,20151007,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011162,20150212,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009090,20150218,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0013838,20150317,K039,"Standard not met: Thermometers provided and accurate",false

FA0009994,20150508,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004588,20150318,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0026046,20150805,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0015788,20150504,K047,"Standard not met: Signs posted; last inspection report available",false

FA0011868,20151019,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004812,20150316,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0000142,20150420,K039,"Standard not met: Thermometers provided and accurate",false

FA0009697,20150127,K039,"Standard not met: Thermometers provided and accurate",false

FA0011978,20150612,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0001660,20150728,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0012532,20160420,K030,"Standard not met: Food storage; food storage containers identified",false

FA0013982,20151118,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009473,20150331,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0006306,20150319,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0019398,20150520,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0005134,20150203,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0013687,20160513,K039,"Standard not met: Thermometers provided and accurate",false

FA0009696,20150326,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009078,20150416,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009148,20151102,K039,"Standard not met: Thermometers provided and accurate",false

FA0014681,20150717,K047,"Standard not met: Signs posted; last inspection report available",false

FA0003519,20150204,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0013488,20151023,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0005160,20150820,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0014761,20150429,K008,"Standard not met: Time as a public health control; procedures & records",false

FA0009074,20150922,K047,"Standard not met: Signs posted; last inspection report available",false

FA0000109,20150206,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009208,20150402,K047,"Standard not met: Signs posted; last inspection report available",false

FA0015216,20150316,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0005329,20150930,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009156,20151008,K039,"Standard not met: Thermometers provided and accurate",false

FA0009728,20150206,K047,"Standard not met: Signs posted; last inspection report available",false

FA0007771,20140528,K030,"Standard not met: Food storage; food storage containers identified",false

FA0007771,20140528,K039,"Standard not met: Thermometers provided and accurate",false

FA0008207,20150126,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009004,20150319,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0005927,20150505,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0012563,20150204,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0007653,20150421,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0015023,20150805,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011595,20150508,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0011611,20150310,K008,"Standard not met: Time as a public health control; procedures & records",false

FA0027081,20151105,K030,"Standard not met: Food storage; food storage containers identified",false

FA0005296,20150925,K047,"Standard not met: Signs posted; last inspection report available",false

FA0003620,20150120,K047,"Standard not met: Signs posted; last inspection report available",false

FA0013550,20151113,K008,"Standard not met: Time as a public health control; procedures & records",true

FA0009893,20150904,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0024156,20150305,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0013354,20150129,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0001633,20151016,K047,"Standard not met: Signs posted; last inspection report available",false

FA0011740,20151103,K039,"Standard not met: Thermometers provided and accurate",false

FA0016741,20151117,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0010132,20150311,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0016886,20150223,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0007643,20150205,K039,"Standard not met: Thermometers provided and accurate",false

FA0002381,20150415,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0016886,20150223,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0011537,20150310,K047,"Standard not met: Signs posted; last inspection report available",false

FA0003021,20150324,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0007953,20150921,K030,"Standard not met: Food storage; food storage containers identified",false

FA0007643,20150205,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004123,20140602,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0016253,20140528,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0016253,20140528,K030,"Standard not met: Food storage; food storage containers identified",false

FA0027993,20140603,K039,"Standard not met: Thermometers provided and accurate",false

FA0006916,20140617,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011904,20140711,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0013759,20140710,K039,"Standard not met: Thermometers provided and accurate",false

FA0008930,20140711,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0013648,20140711,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0013648,20140711,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0006632,20150206,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0004195,20160315,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011490,20150326,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009704,20150506,K030,"Standard not met: Food storage; food storage containers identified",false

FA0001810,20150113,K008,"Standard not met: Time as a public health control; procedures & records",false

FA0010241,20151112,K039,"Standard not met: Thermometers provided and accurate",false

FA0008317,20150402,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0015999,20150219,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0007624,20151028,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004049,20150506,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0010161,20151106,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0003586,20151027,K039,"Standard not met: Thermometers provided and accurate",false

FA0004559,20150825,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009697,20150127,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0014086,20140603,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0014086,20140603,K039,"Standard not met: Thermometers provided and accurate",false

FA0010608,20140603,K047,"Standard not met: Signs posted; last inspection report available",false

FA0010608,20140603,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0010608,20140603,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004329,20140603,K047,"Standard not met: Signs posted; last inspection report available",false

FA0004329,20140603,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0001431,20140603,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0004995,20140604,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0006931,20140623,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009076,20140623,K030,"Standard not met: Food storage; food storage containers identified",false

FA0004192,20140623,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0005610,20140623,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0005523,20140623,K047,"Standard not met: Signs posted; last inspection report available",false

FA0005523,20140623,K039,"Standard not met: Thermometers provided and accurate",false

FA0006914,20140624,K030,"Standard not met: Food storage; food storage containers identified",false

FA0006914,20140624,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0002457,20140624,K030,"Standard not met: Food storage; food storage containers identified",false

FA0002457,20140624,K039,"Standard not met: Thermometers provided and accurate",false

FA0009778,20140718,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0015789,20140721,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0015789,20140721,K030,"Standard not met: Food storage; food storage containers identified",false

FA0026409,20140721,K047,"Standard not met: Signs posted; last inspection report available",false

FA0014681,20140721,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0014681,20140721,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0000868,20140811,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0025381,20140811,K047,"Standard not met: Signs posted; last inspection report available",false

FA0027310,20151104,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0004085,20160125,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0007698,20150122,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004443,20150415,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009043,20150929,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0022303,20150811,K047,"Standard not met: Signs posted; last inspection report available",false

FA0004144,20150512,K030,"Standard not met: Food storage; food storage containers identified",false

FA0025237,20151130,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0026488,20151103,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0007712,20150507,K047,"Standard not met: Signs posted; last inspection report available",false

FA0007977,20151105,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0026786,20150428,K047,"Standard not met: Signs posted; last inspection report available",false

FA0014925,20150402,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0021339,20150916,K047,"Standard not met: Signs posted; last inspection report available",false

FA0001504,20140529,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0001504,20140529,K047,"Standard not met: Signs posted; last inspection report available",false

FA0001504,20140529,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0026618,20140530,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0024593,20150611,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009814,20150917,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009032,20151102,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0014270,20150414,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0027834,20151130,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009429,20150218,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0008064,20151019,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009010,20151022,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0015739,20150318,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0012558,20160406,K047,"Standard not met: Signs posted; last inspection report available",false

FA0014117,20150325,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0011593,20151123,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0015077,20150429,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0002989,20151001,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0021075,20150406,K047,"Standard not met: Signs posted; last inspection report available",false

FA0007828,20150325,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0028075,20150618,K030,"Standard not met: Food storage; food storage containers identified",false

FA0008063,20150427,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0012019,20150728,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0028387,20150420,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0015022,20160512,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0012729,20150511,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0012566,20150626,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0005687,20150625,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0009427,20150130,K047,"Standard not met: Signs posted; last inspection report available",false

FA0004800,20151106,K030,"Standard not met: Food storage; food storage containers identified",false

FA0016467,20151125,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009415,20150204,K047,"Standard not met: Signs posted; last inspection report available",false

FA0010226,20160407,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0006913,20150519,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0026771,20150401,K047,"Standard not met: Signs posted; last inspection report available",false

FA0012415,20150925,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0027416,20150312,K039,"Standard not met: Thermometers provided and accurate",false

FA0016365,20150325,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0014599,20150331,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0001962,20150921,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0008332,20150521,K030,"Standard not met: Food storage; food storage containers identified",false

FA0003593,20150916,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011458,20150923,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0010034,20150811,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009440,20150212,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0010002,20151110,K047,"Standard not met: Signs posted; last inspection report available",false

FA0013542,20151027,K030,"Standard not met: Food storage; food storage containers identified",false

FA0015047,20140529,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0028251,20160505,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0028664,20150219,K039,"Standard not met: Thermometers provided and accurate",false

FA0003609,20150626,K039,"Standard not met: Thermometers provided and accurate",false

FA0013426,20150417,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0012261,20150715,K039,"Standard not met: Thermometers provided and accurate",false

FA0014115,20150508,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0009872,20150116,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009658,20150429,K047,"Standard not met: Signs posted; last inspection report available",false

FA0014362,20150330,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009984,20150505,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0008944,20150414,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0012729,20150511,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004325,20150209,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009107,20150318,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0007865,20150828,K039,"Standard not met: Thermometers provided and accurate",false

FA0015920,20160509,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009726,20150317,K047,"Standard not met: Signs posted; last inspection report available",false

FA0014941,20150109,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0010004,20150128,K039,"Standard not met: Thermometers provided and accurate",false

FA0001433,20150513,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009403,20151023,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0001296,20150818,K030,"Standard not met: Food storage; food storage containers identified",false

FA0004136,20150730,K030,"Standard not met: Food storage; food storage containers identified",false

FA0013364,20140610,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009717,20140611,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009717,20140611,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009746,20140611,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009746,20140611,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0027410,20140612,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0014349,20140612,K030,"Standard not met: Food storage; food storage containers identified",false

FA0014349,20140612,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0004752,20140708,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004752,20140708,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009664,20140708,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009664,20140708,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0000986,20140801,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0000986,20140801,K039,"Standard not met: Thermometers provided and accurate",false

FA0000986,20140801,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0000575,20140804,K030,"Standard not met: Food storage; food storage containers identified",false

FA0000144,20140819,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0000144,20140819,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0000144,20140819,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0005095,20140819,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004333,20150316,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0005268,20150511,K047,"Standard not met: Signs posted; last inspection report available",false

FA0014450,20150402,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004952,20150305,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0008033,20151119,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0026071,20150225,K047,"Standard not met: Signs posted; last inspection report available",false

FA0005540,20150909,K030,"Standard not met: Food storage; food storage containers identified",false

FA0009842,20150209,K047,"Standard not met: Signs posted; last inspection report available",false

FA0013483,20150330,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009843,20150625,K047,"Standard not met: Signs posted; last inspection report available",false

FA0004136,20150730,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0018626,20140602,K039,"Standard not met: Thermometers provided and accurate",false

FA0018626,20140602,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0018626,20140602,K047,"Standard not met: Signs posted; last inspection report available",false

FA0004788,20140602,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009779,20140602,K039,"Standard not met: Thermometers provided and accurate",false

FA0009779,20140602,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009680,20140603,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009680,20140603,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009680,20140603,K039,"Standard not met: Thermometers provided and accurate",false

FA0012788,20140603,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0012788,20140603,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0012788,20140603,K030,"Standard not met: Food storage; food storage containers identified",false

FA0015106,20140617,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009777,20140618,K008,"Standard not met: Time as a public health control; procedures & records",false

FA0003200,20140710,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0007085,20140801,K030,"Standard not met: Food storage; food storage containers identified",false

FA0004730,20140805,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0004730,20140805,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004730,20140805,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0004730,20140805,K039,"Standard not met: Thermometers provided and accurate",false

FA0004079,20140806,K039,"Standard not met: Thermometers provided and accurate",false

FA0004079,20140806,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0015593,20140806,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0010319,20140806,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0010319,20140806,K008,"Standard not met: Time as a public health control; procedures & records",true

FA0010319,20140806,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0010319,20140806,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009523,20140815,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0008307,20140818,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0025564,20150721,K047,"Standard not met: Signs posted; last inspection report available",false

FA0006506,20150311,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009847,20150817,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0015586,20150122,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0015951,20150804,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0011540,20150520,K030,"Standard not met: Food storage; food storage containers identified",false

FA0008013,20150126,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0027196,20150429,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009855,20151015,K039,"Standard not met: Thermometers provided and accurate",false

FA0013679,20150311,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0008042,20151001,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0026501,20150203,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009495,20150120,K030,"Standard not met: Food storage; food storage containers identified",false

FA0004150,20150903,K039,"Standard not met: Thermometers provided and accurate",false

FA0005762,20150203,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0028535,20150825,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0002779,20150420,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009799,20150408,K047,"Standard not met: Signs posted; last inspection report available",false

FA0005028,20150505,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0028550,20150311,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0016608,20150109,K030,"Standard not met: Food storage; food storage containers identified",false

FA0014561,20150723,K030,"Standard not met: Food storage; food storage containers identified",false

FA0000772,20150909,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0008217,20160506,K030,"Standard not met: Food storage; food storage containers identified",false

FA0006662,20151118,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009855,20151015,K047,"Standard not met: Signs posted; last inspection report available",false

FA0027469,20160226,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009090,20160505,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009283,20150210,K030,"Standard not met: Food storage; food storage containers identified",false

FA0007887,20151113,K030,"Standard not met: Food storage; food storage containers identified",false

FA0025525,20150324,K047,"Standard not met: Signs posted; last inspection report available",false

FA0009319,20150310,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0010009,20151028,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0004630,20150930,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0002035,20150909,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0016082,20150624,K008,"Standard not met: Time as a public health control; procedures & records",false

FA0005384,20151104,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0015671,20150327,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0014617,20150430,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0002434,20150922,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0000885,20150828,K030,"Standard not met: Food storage; food storage containers identified",false

FA0013348,20150504,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0017020,20150527,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0021055,20150130,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0001973,20150527,K047,"Standard not met: Signs posted; last inspection report available",false

FA0003185,20151021,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0009435,20150218,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0014255,20150415,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009460,20150225,K045,"Standard not met: Floors, walls and ceilings: built, maintained, and clean",false

FA0026833,20150126,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0009855,20151015,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0025472,20151124,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

FA0022612,20150113,K047,"Standard not met: Signs posted; last inspection report available",false

FA0006884,20150618,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0009268,20150924,K040,"Standard not met: Wiping cloths: properly used and stored",false

FA0001125,20150904,K039,"Standard not met: Thermometers provided and accurate",false

FA0009944,20150310,K034,"Standard not met: Warewashing facilities: installed, maintained, used; test strips",false

