Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
CLUB IRIS,"OKINO & KIM, INC.",(808)741-2188,12668,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,104-5,HONOLULU,HAWAII,96817,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,104-5,HONOLULU,HAWAII,96817,,,12668,Open,137 New and Renewal 2,Category 2,05/02/2011 12:00:00 AM,1,5,27,4,02/09/2013 12:00:00 AM
MCCULLY PANTRY,"EJK ENTERPRISES, INC.",(808)393-9921,13974,"MCCULLY STREET
HONOLULU, HAWAII 96826
(21.296820527231773, -157.82963764840576)",MCCULLY STREET ,   ,HONOLULU,HAWAII,96826,"MCCULLY STREET
HONOLULU, HAWAII 96826
(21.296820527231773, -157.82963764840576)",MCCULLY STREET ,   ,HONOLULU,HAWAII,96826,,,13974,Open,137 New and Renewal 2,Category 2,08/26/2010 12:00:00 AM,2,7,1,32,08/26/2012 12:00:00 AM
FORT RUGER,"YOUNG JUN, INC.",(760)470-3292,14874,"FORT STREET
HONOLULU, HAWAII 96813
(21.30750216081873, -157.8651680282795)",FORT STREET ,150,HONOLULU,HAWAII,96813,"FORT STREET
HONOLULU, HAWAII 96813
(21.30750216081873, -157.8651680282795)",FORT STREET ,150,HONOLULU,HAWAII,96813,,,14874,Open,137 New and Renewal 2,Category 2,08/04/2011 12:00:00 AM,2,1,2,9,08/04/2013 12:00:00 AM
K F C HAWAII - KAPIOLANI,KAZI FOODS CORP. OF HAWAII,(808)550-4100,3888,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,110,HONOLULU,HAWAII,96814,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96817
(21.312482220372033, -157.86522831771532)",NORTH NIMITZ HIGHWAY,214,HONOLULU,HAWAII,96817,,,3888,Open,137 New and Renewal 2,Category 2,05/04/2010 12:00:00 AM,2,3,21,8,"April 28"", ""2014"
"ODWALLA, INC. (233 TSB)","ODWALLA, INC.",(808)222-2354,15443,"IWAENA STREET
AIEA, HAWAII 96701
(21.37561195768091, -157.91111997686582)",IWAENA STREET ,103,AIEA,HAWAII,96701,"IWAENA STREET
AIEA, HAWAII 96701
(21.37561195768091, -157.91111997686582)",IWAENA STREET ,103,AIEA,HAWAII,96701,,,15443,Open,137 New and Renewal 3,Category 3,04/26/2012 12:00:00 AM,9,9,72,19,04/26/2014 12:00:00 AM
T K MART,T K SONG CORPORATION,(808)391-2372,14296,"KINAU STREET
HONOLULU, HAWAII 96814
(21.304264601794525, -157.847601627544)",KINAU STREET ,   ,HONOLULU,HAWAII,96814,"KINAU STREET
HONOLULU, HAWAII 96814
(21.304264601794525, -157.847601627544)",KINAU STREET ,   ,HONOLULU,HAWAII,96814,,,14296,Open,137 New and Renewal 3,Category 3,12/23/2010 12:00:00 AM,2,4,10,10,12/23/2012 12:00:00 AM
DA FALAFEL KING (RPR 953),"TASTE OF JERUSALEM, LLC",,14997,"ATKINSON DRIVE
HONOLULU, HAWAII 96814
(21.289208494857604, -157.84130267070177)",ATKINSON DRIVE ,   ,HONOLULU,HAWAII,96814,"NAMAHANA STREET
HONOLULU, HAWAII 96815
(21.284019657260615, -157.83131991308832)",NAMAHANA STREET ,2A,HONOLULU,HAWAII,96815,  YANIR YOSEF,,14997,Open,137 New and Renewal 3,Category 3,10/14/2011 12:00:00 AM,2,3,38,2,10/14/2013 12:00:00 AM
HANA MARKET INC.,"HANA MARKET, INC.",(808)943-1173,11029,"MCCULLY STREET
HONOLULU, HAWAII 96826
(21.296820527231773, -157.82963764840576)",MCCULLY STREET ,   ,HONOLULU,HAWAII,96826,"MCCULLY STREET
HONOLULU, HAWAII 96826
(21.296820527231773, -157.82963764840576)",MCCULLY STREET ,   ,HONOLULU,HAWAII,96826,,,11029,Open,137 New and Renewal 2,Category 2,12/09/2011 12:00:00 AM,2,3,28,1,12/12/2013 12:00:00 AM
"EASY TO GO, LLC (PWP 211)",DONG HOON KIM,(808)841-1350,14365,"HEO STREET
HONOLULU, HAWAII 96819
(21.341000000150075, -157.88068000028164)",HEO STREET ,   ,HONOLULU,HAWAII,96819,"HEO STREET
HONOLULU, HAWAII 96819
(21.341000000150075, -157.88068000028164)",HEO STREET ,   ,HONOLULU,HAWAII,96819,,,14365,Open,137 New and Renewal 3,Category 3,01/21/2011 12:00:00 AM,1,2,6,111,01/21/2013 12:00:00 AM
PAPA JOHN'S PIZZA,"PJ HAWAII, LLC",(808)831-3388,5068,"LAWEHANA STREET
AIEA, HAWAII 96701
(21.38695000034238, -157.93232000026765)",LAWEHANA STREET ,   ,AIEA,HAWAII,96701,"PAA STREET
HONOLULU, HAWAII 96819
(21.345043654556008, -157.8946403508128)",PAA STREET ,   ,HONOLULU,HAWAII,96819,,,5068,Open,137 New and Renewal 2,Category 2,01/23/2012 12:00:00 AM,9,9,71,13,11/03/2013 12:00:00 AM
KAMAAINA KIDS AT CFS,"KAMAAINA CARE, INC.",(808)262-4538,1672,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,   ,EWA BEACH,HAWAII,96706,"HAMAKUA DRIVE
KAILUA, HAWAII 96734
(21.39331778097568, -157.7450384251095)",HAMAKUA DRIVE ,   ,KAILUA,HAWAII,96734,,,1672,Open,137 New and Renewal 2,Category 2,08/26/2011 12:00:00 AM,9,1,17,58,09/15/2013 12:00:00 AM
OHANA AND BBQ OHANA SUSHI,JINWOO LTD.,(808)222-0089,10881,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701,"FRANCIS STREET
HONOLULU, HAWAII 96815
(21.273109145208156, -157.8139589839049)",FRANCIS STREET ,   ,HONOLULU,HAWAII,96815,SEUNG HO HYUN,,10881,Open,137 New and Renewal 1,Category 1,06/10/2010 12:00:00 AM,9,8,22,85,"June 19"", ""2014"
MEI CHEN STORE,CHIEN MEI CHEN,(808)841-1217,14450,"KALIHI STREET
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",KALIHI STREET ,   ,HONOLULU,HAWAII,96817,"KALIHI STREET
HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",KALIHI STREET ,   ,HONOLULU,HAWAII,96817,,,14450,Open,137 New and Renewal 3,Category 3,02/28/2011 12:00:00 AM,1,2,2,104,02/28/2013 12:00:00 AM
PANDA EXPRESS #1701,"PANDA EXPRESS, INC.",(626)799-9898,14265,"KING STREET
HONOLULU, HAWAII 96826
(21.28996578888771, -157.8182999635788)",KING STREET ,   ,HONOLULU,HAWAII,96826,"WALNUT GROVE AVENUE
ROSEMEAD, CALIFORNIA 91770
(34.04086569088403, -118.08205010926548)",WALNUT GROVE AVENUE,   ,ROSEMEAD,CALIFORNIA,91770,  TAX DEPARTMENT,,14265,Open,137 New and Renewal 1,Category 1,12/09/2010 12:00:00 AM,2,3,19,58,12/09/2012 12:00:00 AM
KALIHI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)832-3183,2654,"KULA KOLEA DRIVE
HONOLULU, HAWAII 96819
(21.35061797102452, -157.86190981942718)",KULA KOLEA DRIVE,   ,HONOLULU,HAWAII,96819,"KULA KOLEA DRIVE
HONOLULU, HAWAII 96819
(21.35061797102452, -157.86190981942718)",KULA KOLEA DRIVE,   ,HONOLULU,HAWAII,96819, CAFETERIA,,2654,Open,137 New and Renewal 1,Category 1,01/31/2012 12:00:00 AM,1,4,7,2,01/09/2014 12:00:00 AM
"HAWAIIAN CHIP CO., LLC","CHAN CHAN, LLC",(808)845-9868,10792,"REPUBLICAN STREET
HONOLULU, HAWAII 96819
(21.323094729595308, -157.88133415432665)",REPUBLICAN STREET ,   ,HONOLULU,HAWAII,96819,"REPUBLICAN STREET
HONOLULU, HAWAII 96819
(21.323094729595308, -157.88133415432665)",REPUBLICAN STREET ,   ,HONOLULU,HAWAII,96819,,,10792,Open,137 New and Renewal 3,Category 3,05/04/2010 12:00:00 AM,1,2,8,9,"April 30"", ""2014"
ANTONIO'S NEW YORK PIZZERIA,"CUGINI, INC.",(808)737-3333,7509,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,109B,HONOLULU,HAWAII,96816,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE,109B,HONOLULU,HAWAII,96816,,,7509,Open,137 New and Renewal 3,Category 3,07/25/2011 12:00:00 AM,3,5,17,8,07/14/2013 12:00:00 AM
YWCA OF OAHU LANIAKEA,YWCA OF OAHU,(808)695-2619,12431,"RICHARDS STREET
HONOLULU, HAWAII 96813
(21.30740503778943, -157.85986565083698)",RICHARDS STREET ,   ,HONOLULU,HAWAII,96813,"RICHARDS STREET
HONOLULU, HAWAII 96813
(21.30740503778943, -157.85986565083698)",RICHARDS STREET ,   ,HONOLULU,HAWAII,96813, DINING ROOM AT LANIAKEA,,12431,Open,137 New and Renewal 1,Category 1,10/22/2010 12:00:00 AM,2,1,17,9,10/31/2012 12:00:00 AM
KAAAWA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)239-3118,929,"KAMEHAMEHA HIGHWAY
KAAAWA, HAWAII 96730
(21.547752343877075, -157.84652931365525)",KAMEHAMEHA HIGHWAY ,   ,KAAAWA,HAWAII,96730,"KAMEHAMEHA HIGHWAY
KAAAWA, HAWAII 96730
(21.547752343877075, -157.84652931365525)",KAMEHAMEHA HIGHWAY ,   ,KAAAWA,HAWAII,96730,,,929,Open,137 New and Renewal 3,Category 3,06/06/2011 12:00:00 AM,5,1,2,18,05/25/2013 12:00:00 AM
"KITCHEN DELIGHT, INC.","KITCHEN DELIGHT, INC.",(808)622-3463,3798,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,,,3798,Open,137 New and Renewal 2,Category 2,04/15/2010 12:00:00 AM,7,4,3,50,"April 27"", ""2014"
"WANDERING PALATE, THE (390 MUM)","OAHU CATERING, LLC",(808)469-4105,15666,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE,,HONOLULU,HAWAII,96815,"HONOLULU, HAWAII 96816
(21.284120000437838, -157.79823999997586)",,,HONOLULU,HAWAII,96816,,10400,15666,Open,137 New and Renewal 3,Category 3,08/06/2012 12:00:00 AM,2,6,26,20,08/06/2014 12:00:00 AM
CHOCOLATE GECKO ESPRESSO,M & G ENTERPRISES,(808)366-3518,11953,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712, REBECCA GONZALES,,11953,Open,137 New and Renewal 2,Category 2,12/16/2011 12:00:00 AM,6,2,6,18,12/15/2013 12:00:00 AM
KIM CHEE RESTAURANT #1,DEBBIE CHUN,(808)235-5560,2583,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,,,2583,Open,137 New and Renewal 1,Category 1,12/06/2011 12:00:00 AM,4,6,30,51,12/24/2013 12:00:00 AM
KAHALA THEATRES,"CONSOLIDATED ENTERTAINMENT, INC.",,10866,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,,,10866,Open,137 New and Renewal 3,Category 3,06/28/2011 12:00:00 AM,3,5,16,1,07/01/2013 12:00:00 AM
GOLDEN LION CHINESE RESTAURANT,JAMES & NOVENA CHUN,(808)487-8788,6748,"KAAHUMANU STREET
AIEA, HAWAII 96701
(21.411852247113735, -157.93826669400426)",KAAHUMANU STREET ,   ,AIEA,HAWAII,96701,"KAAHUMANU STREET
AIEA, HAWAII 96701
(21.411852247113735, -157.93826669400426)",KAAHUMANU STREET ,112,AIEA,HAWAII,96701,,,6748,Open,137 New and Renewal 1,Category 1,06/30/2010 12:00:00 AM,9,8,8,25,"July 09"", ""2014"
"BOBO'S MINIMART AND SUSHI, INC.",JEONGIN PARK,(808)772-7346,13973,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701,"KELAKELA STREET
MILILANI, HAWAII 96789
(21.47454195363769, -158.01289835438956)",KELAKELA STREET ,   ,MILILANI,HAWAII,96789,,,13973,Open,137 New and Renewal 2,Category 2,03/08/2011 12:00:00 AM,9,8,10,9,03/30/2013 12:00:00 AM
"CHEVRON STATIONS, INC. #2532","CHEVRON STATIONS, INC.",(714)671-3304,11898,"SALT LAKE BOULEVARD
HONOLULU, HAWAII 96818
(21.343920326535727, -157.9059924635557)",SALT LAKE BOULEVARD,   ,HONOLULU,HAWAII,96818,"BREA, CALIFORNIA 92821
(33.92253000005962, -117.89406999983049)",,   ,BREA,CALIFORNIA,92821, LICENSES & PERMITS,2292,11898,Open,137 New and Renewal 2,Category 2,01/23/2012 12:00:00 AM,9,9,2,35,01/07/2014 12:00:00 AM
STARBUCKS COFFEE (WARD ENTERTAINMENT) #21026,STARBUCKS CORP.,(206)318-8705,9411,"KAMAKEE STREET
HONOLULU, HAWAII 96814
(21.293140607642624, -157.85395472787616)",KAMAKEE STREET ,6,HONOLULU,HAWAII,96814,"SEATTLE, WASHINGTON 98124
(47.551910000346425, -122.3263100002062)",,S-TAX2,SEATTLE,WASHINGTON,98124,,34442,9411,Open,137 New and Renewal 3,Category 3,"Feb 20"", ""2012",2,3,2,1,02/20/2014 12:00:00 AM
FOODLAND SUPER MARKET #4,"FOODLAND SUPERMARKET, LTD.",(808)732-0791,11457,"SOUTH BERETANIA STREET
HONOLULU, HAWAII 96814
(21.303895186905667, -157.8493966033946)",SOUTH BERETANIA STREET,   ,HONOLULU,HAWAII,96814,"HARDING AVENUE
HONOLULU, HAWAII 96816
(21.287452571941955, -157.8126525404355)",HARDING AVENUE ,100,HONOLULU,HAWAII,96816, SHARON YAMAMOTO,,11457,Open,137 New and Renewal 1,Category 1,05/19/2011 12:00:00 AM,2,4,10,47,05/28/2013 12:00:00 AM
BLAZIN STEAKS MILILANI TOWN CENTER,"TAG ENTERPRISES, INC.",(808)554-8455,14337,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,156,MILILANI,HAWAII,96789,"LANAKOI STREET
KAPOLEI, HAWAII 96707
(21.332545731342417, -158.06533237049823)",LANAKOI STREET ,   ,KAPOLEI,HAWAII,96707,  VILL TAGALICUD,,14337,Open,137 New and Renewal 1,Category 1,01/06/2011 12:00:00 AM,9,5,1,64,01/06/2013 12:00:00 AM
JIN JOO KOREAN RESTAURANT,"KWI YAE CONNER, LLC",(808)520-7192,15574,"KAMEHAMEHA HIGHWAY
HONOLULU, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY,111,HONOLULU,HAWAII,96701,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,111,AIEA,HAWAII,96701,,,15574,Open,137 New and Renewal 1,Category 1,06/25/2012 12:00:00 AM,9,8,22,74,03/31/2014 12:00:00 AM
MAX'S OF MANILA,"ASIAN RESTAURANT GROUP, INC.",(808)728-3067,13638,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96819
(21.327002713156855, -157.8795413179569)",DILLINGHAM BOULEVARD ,   ,HONOLULU,HAWAII,96819,"SOUTH BERETANIA STREET
HONOLULU, HAWAII 96814
(21.303895186905667, -157.8493966033946)",SOUTH BERETANIA STREET,   ,HONOLULU,HAWAII,96814,,,13638,Open,137 New and Renewal 1,Category 1,04/01/2010 12:00:00 AM,1,5,15,0,"April 01"", ""2014"
ZANZABAR NIGHT CLUB,"MYSTIC WORKS, LLC",(808)479-9013,5159,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE ,S-8,HONOLULU,HAWAII,96815,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE ,108,HONOLULU,HAWAII,96815,JAMES BOERSEMA,,5159,Open,137 New and Renewal 3,Category 3,11/28/2011 12:00:00 AM,2,6,22,4,12/17/2013 12:00:00 AM
UNCLE BOBO'S SMOKED BBQ,ROBERT & KEIKO UKAI JOYCE,(808)237-1000,8836,"KAMEHAMEHA HIGHWAY
KAAAWA, HAWAII 96730
(21.547752343877075, -157.84652931365525)",KAMEHAMEHA HIGHWAY ,   ,KAAAWA,HAWAII,96730,"KAAAWA, HAWAII 96730
(21.550339999691403, -157.8511700000953)",,   ,KAAAWA,HAWAII,96730,,59,8836,Open,137 New and Renewal 1,Category 1,08/10/2011 12:00:00 AM,5,1,11,43,08/12/2013 12:00:00 AM
J. W. MARRIOTT IHILANI RESORT & SPA,"MARRIOTT HOTEL SERVICES, INC.",(808)679-0079,11895,"OLANI STREET
KAPOLEI, HAWAII 96707
(21.342537562591247, -158.12307743334605)",OLANI STREET ,   ,KAPOLEI,HAWAII,96707,"OLANI STREET
KAPOLEI, HAWAII 96707
(21.342537562591247, -158.12307743334605)",OLANI STREET ,   ,KAPOLEI,HAWAII,96707,,,11895,Open,137 New and Renewal 3,Category 3,01/09/2012 12:00:00 AM,9,1,57,1,01/26/2014 12:00:00 AM
KAZOKU SUSHI RESTAURANT,"RCCHIN, LLC",(808)232-7995,9664,"KAMOKILA BOULEVARD
KAPOLEI, HAWAII 96707
(21.327439653281516, -158.0863503219189)",KAMOKILA BOULEVARD ,102,KAPOLEI,HAWAII,96707,"KAMOKILA BOULEVARD
KAPOLEI, HAWAII 96707
(21.327439653281516, -158.0863503219189)",KAMOKILA BOULEVARD ,102,KAPOLEI,HAWAII,96707,,,9664,Open,137 New and Renewal 2,Category 2,10/27/2010 12:00:00 AM,9,1,118,9,10/13/2012 12:00:00 AM
SUNRISE MARKET,"SYK LIQUOR & GROCERY, INC.",(808)842-3411,15282,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,   ,HONOLULU,HAWAII,96817,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,   ,HONOLULU,HAWAII,96817,,,15282,Open,137 New and Renewal 2,Category 2,02/17/2012 12:00:00 AM,1,5,7,52,10/15/2014 12:00:00 AM
MALASIG MEAT MARKET,ESTRELITA M. AGUINALDO,(808)525-5726,10709,"NORTH KING STREET
HONOLULU, HAWAII 96817
(21.313817713585564, -157.86425255331352)",NORTH KING STREET,STALL 4  ,HONOLULU,HAWAII,96817,"DEMENT STREET
HONOLULU, HAWAII 96819
(21.337073110617002, -157.872384316346)",DEMENT STREET ,   ,HONOLULU,HAWAII,96819, FILGRIMA M. CACHOLA,,10709,Open,137 New and Renewal 3,Category 3,03/15/2010 12:00:00 AM,1,7,2,34,"March 19"", ""2014"
ROCKETT'S PHILLY CHEESESTEAKS (COMMISSARY),CLYDE MARK ROCKETT,(808)772-6253,15603,"UMI STREET
HONOLULU, HAWAII 96819
(21.333609051500428, -157.88304952735677)",UMI STREET,C,HONOLULU,HAWAII,96819,"ALBATROSS AVENUE
EWA BEACH, HAWAII 96706
(21.317641936886464, -157.98106589099092)",ALBATROSS AVENUE,,EWA BEACH,HAWAII,96706,CLYDE MARK ROCKETT,,15603,Open,137 New and Renewal 3,Category 3,07/11/2012 12:00:00 AM,1,2,14,57,07/11/2014 12:00:00 AM
T & J LUNCHWAGON,"T & J MANGEMENT, INC.",(808)753-4835,14129,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,   ,HONOLULU,HAWAII,96814,"HIHIWAI STREET
HONOLULU, HAWAII 96826
(21.285975063268577, -157.82737864335505)",HIHIWAI STREET ,2203,HONOLULU,HAWAII,96826,  TIMOTHY YI,,14129,Open,137 New and Renewal 2,Category 2,10/07/2010 12:00:00 AM,2,3,39,11,10/07/2012 12:00:00 AM
MAUKA CHINESE CUISINE / NEW GENKI RAMEN II,"MWL ENTERPRISES, INC.",(808)541-7128,12797,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,1-2,MILILANI,HAWAII,96789,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY,1-2,MILILANI,HAWAII,96789,,,12797,Open,137 New and Renewal 1,Category 1,03/14/2011 12:00:00 AM,9,5,49,10,03/27/2013 12:00:00 AM
