Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
SUBWAY SANDWICH - NUUANU YMCA,DONNABELL & BOYET FAYLOGA,(808)295-3524,15268,"PALI HIGHWAY
HONOLULU, HAWAII 96813
(21.31188211345323, -157.85775583572988)",PALI HIGHWAY ,   ,HONOLULU,HAWAII,96813,"KALAEPAA STREET
HONOLULU, HAWAII 96819
(21.341000000150075, -157.88068000028164)",KALAEPAA STREET ,   ,HONOLULU,HAWAII,96819,  DONNABELL FAYLOGA,,15268,Open,137 New and Renewal 1,Category 1,02/13/2012 12:00:00 AM,2,1,5,3,02/13/2014 12:00:00 AM
"WHOLESALE UNLIMITED, INC.","WHOLESALE UNLIMITED, INC.",(808)839-5258,12545,"KOPAKE STREET
WAIPAHU, HAWAII 96797
(21.38866397043875, -158.00715130509548)",KOPAKE STREET ,   ,WAIPAHU,HAWAII,96797,"KOPAKE STREET
WAIPAHU, HAWAII 96797
(21.38866397043875, -158.00715130509548)",KOPAKE STREET ,   ,WAIPAHU,HAWAII,96797,,,12545,Open,137 New and Renewal 3,Category 3,03/11/2010 12:00:00 AM,9,4,160,13,"March 24"", ""2014"
HAWAII MEDICAL CENTER WEST,"HAWAII MEDICAL CENTER, LLC",(808)294-7154,9825,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,   ,EWA BEACH,HAWAII,96706,"FORT WEAVER ROAD
EWA BEACH, HAWAII 96706
(21.375005900481945, -158.0263684600304)",FORT WEAVER ROAD,   ,EWA BEACH,HAWAII,96706,,,9825,Open,137 New and Renewal 1,Category 1,12/21/2010 12:00:00 AM,9,1,17,56,01/08/2013 12:00:00 AM
ALOHA WAINANI FRESH FISH,HASRAT ALI,(808)722-1134,15648,"POHUKAINA STREET
HONOLULU, HAWAII 96819
(21.341000000150075, -157.88068000028164)",POHUKAINA STREET,,HONOLULU,HAWAII,96819,"KALANIANAOLE HIGHWAY
HONOLULU, HAWAII 96821
(21.278261186711564, -157.75269197359427)",KALANIANAOLE HIGHWAY ,,HONOLULU,HAWAII,96821,HASRAT ALI,,15648,Open,137 New and Renewal 3,Category 3,07/25/2012 12:00:00 AM,2,1,52,0,02/09/2013 12:00:00 AM
PAI'S SANDWICH,"PAI'S, LLC",(808)375-8889,1750,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,113,HONOLULU,HAWAII,96815,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,113,HONOLULU,HAWAII,96815,,,1750,Open,137 New and Renewal 3,Category 3,09/19/2011 12:00:00 AM,2,6,2,17,09/24/2013 12:00:00 AM
PIZZA HUT HAWAII,TD FOOD GROUP,,14369,"WAILEPO STREET
KAILUA, HAWAII 96734
(21.3963115829262, -157.74538183529708)",WAILEPO STREET ,   ,KAILUA,HAWAII,96734,"FORT STREET MALL
HONOLULU, HAWAII 96813
(21.31198022982935, -157.85804219770066)",FORT STREET MALL,130,HONOLULU,HAWAII,96813,,,14369,Open,137 New and Renewal 1,Category 1,01/24/2011 12:00:00 AM,4,3,59,27,01/24/2013 12:00:00 AM
DA SNACK TRUCK,ALINE O. V. SHANER,(808)778-4617,14795,"KAMEHAMEHA HIGHWAY
HALEIWA, HAWAII 96712
(21.678410139474995, -158.03346550063853)",KAMEHAMEHA HIGHWAY ,   ,HALEIWA,HAWAII,96712,"FARRINGTON HIGHWAY
WAIALUA, HAWAII 96791
(21.564894934335683, -158.11952960794048)",FARRINGTON HIGHWAY ,   ,WAIALUA,HAWAII,96791,  ALINE O. V. SHANER,,14795,Open,137 New and Renewal 3,Category 3,06/16/2011 12:00:00 AM,6,2,6,13,06/16/2013 12:00:00 AM
PALAMA SETTLEMENT,PALAMA SETTLEMENT,(808)845-3945,851,"NORTH VINEYARD BOULEVARD
HONOLULU, HAWAII 96817
(21.316695013503107, -157.8596712440917)",NORTH VINEYARD BOULEVARD,   ,HONOLULU,HAWAII,96817,"NORTH VINEYARD BOULEVARD
HONOLULU, HAWAII 96817
(21.316695013503107, -157.8596712440917)",NORTH VINEYARD BOULEVARD,   ,HONOLULU,HAWAII,96817,,,851,Open,137 New and Renewal 2,Category 2,04/13/2011 12:00:00 AM,1,7,45,1,04/30/2013 12:00:00 AM
TIMES SUPER MARKET - MILILANI,"QSI, INC.",(808)831-9811,13406,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,   ,MILILANI,HAWAII,96789,"KOAPAKA STREET
HONOLULU, HAWAII 96819
(21.334992480660844, -157.90790942814314)",KOAPAKA STREET ,D108,HONOLULU,HAWAII,96819,SUE OHTANI,,13406,Open,137 New and Renewal 1,Category 1,11/14/2011 12:00:00 AM,9,5,53,6,12/04/2013 12:00:00 AM
LANIKAI ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)266-7844,2180,"ALALA ROAD
KAILUA, HAWAII 96734
(21.395192142158532, -157.72261726569027)",ALALA ROAD ,   ,KAILUA,HAWAII,96734,"ALALA ROAD
KAILUA, HAWAII 96734
(21.395192142158532, -157.72261726569027)",ALALA ROAD ,   ,KAILUA,HAWAII,96734,,,2180,Open,137 New and Renewal 3,Category 3,10/28/2011 12:00:00 AM,4,2,55,12,10/30/2013 12:00:00 AM
TANGO CONTEMPORARY CAFÃ‰,SCANDIN ASIAN RESTAURANT GROUP LLC,(808)781-2100,10542,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,120   ,HONOLULU,HAWAII,96814,"HENRY STREET
HONOLULU, HAWAII 96817
(21.332298781287676, -157.83739879751863)",HENRY STREET ,   ,HONOLULU,HAWAII,96817,,,10542,Open,137 New and Renewal 1,Category 1,01/10/2012 12:00:00 AM,2,3,5,1,01/24/2014 12:00:00 AM
MCDONALD'S STADIUM MARKET PLACE,"GLENNCO HAWAII, LTD.",(808)733-1545,2528,"SALT LAKE BOULEVARD
HONOLULU, HAWAII 96818
(21.343920326535727, -157.9059924635557)",SALT LAKE BOULEVARD,   ,HONOLULU,HAWAII,96818,"SALT LAKE BOULEVARD
HONOLULU, HAWAII 96818
(21.343920326535727, -157.9059924635557)",SALT LAKE BOULEVARD,   ,HONOLULU,HAWAII,96818,,,2528,Open,137 New and Renewal 2,Category 2,06/30/2011 12:00:00 AM,9,9,2,25,07/01/2013 12:00:00 AM
CHUTNEY,"KATHMANDU INTERNATIONAL, LLC",(858)610-1051,15581,"KEEAUMOKU STREET
HONOLULU, HAWAII 96814
(21.30222994923804, -157.83839704497115)",KEEAUMOKU STREET ,102,HONOLULU,HAWAII,96814,"KEEAUMOKU STREET
HONOLULU, HAWAII 96814
(21.30222994923804, -157.83839704497115)",KEEAUMOKU STREET,,HONOLULU,HAWAII,96814,,,15581,Open,137 New and Renewal 1,Category 1,06/26/2012 12:00:00 AM,2,3,21,36,06/26/2014 12:00:00 AM
SHOCHAN,"OKONOMI FACTORY, LLC",(808)375-3709,15191,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,203,HONOLULU,HAWAII,96815,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,203,HONOLULU,HAWAII,96815,,,15191,Open,137 New and Renewal 2,Category 2,01/10/2012 12:00:00 AM,3,1,22,4,01/10/2014 12:00:00 AM
"HUB, THE","ISLAND BREW, LLC",(808)271-2341,15712,"KEAAHALA ROAD
KANEOHE, HAWAII 96744
(21.413948228327826, -157.8023926875281)",KEAAHALA ROAD ,,KANEOHE,HAWAII,96744,"HONOLULU, HAWAII 96817
(21.324720000327943, -157.859919999808)",,,HONOLULU,HAWAII,96817,"ISLAND BREW, LLC",17760,15712,Open,137 New and Renewal 3,Category 3,08/20/2012 12:00:00 AM,4,5,23,14,08/20/2014 12:00:00 AM
CHOI'S GARDEN RESTAURANT,"CHOI'S RESTAURANT, INC.",(808)596-7555,8047,"RYCROFT STREET
HONOLULU, HAWAII 96814
(21.29829552714352, -157.84669146792214)",RYCROFT STREET ,   ,HONOLULU,HAWAII,96814,"RYCROFT STREET
HONOLULU, HAWAII 96814
(21.29829552714352, -157.84669146792214)",RYCROFT STREET ,   ,HONOLULU,HAWAII,96814,,,8047,Open,137 New and Renewal 1,Category 1,07/07/2010 12:00:00 AM,2,3,14,6,"June 30"", ""2014"
ROSE LUNCHWAGON,DON HOANG NGUYEN,(808)841-3392,8233,"MAUNAKEA STREET
HONOLULU, HAWAII 96817
(21.315409513577436, -157.85852836859704)",MAUNAKEA STREET ,   ,HONOLULU,HAWAII,96817,"ELUWENE STREET
HONOLULU, HAWAII 96819
(21.330805333003067, -157.8829811198258)",ELUWENE STREET ,   ,HONOLULU,HAWAII,96819, DON H. NGUYEN,,8233,Open,137 New and Renewal 3,Category 3,09/10/2010 12:00:00 AM,1,7,2,47,10/06/2012 12:00:00 AM
QUEEN LILIUOKALANI CHILDREN'S CENTER-LILIUOKALANI TRUST,QUEEN LILIUOKALANI CHILDREN'S CENTER,(808)235-7613,4546,"HAIKU ROAD
KANEOHE, HAWAII 96744
(21.41624599611268, -157.81461447390632)",HAIKU ROAD ,   ,KANEOHE,HAWAII,96744,"HAIKU ROAD
KANEOHE, HAWAII 96744
(21.41624599611268, -157.81461447390632)",HAIKU ROAD ,   ,KANEOHE,HAWAII,96744,,,4546,Open,137 New and Renewal 1,Category 1,01/18/2011 12:00:00 AM,4,6,12,36,01/28/2013 12:00:00 AM
GALAXY STEAK HOUSE LLC,WILFRED LEUNG,(808)387-4343,9729,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE ,201-A,HONOLULU,HAWAII,96815,"WILIWILI STREET
HONOLULU, HAWAII 96826
(21.28912117886208, -157.83121137896666)",WILIWILI STREET,302,HONOLULU,HAWAII,96826,,,9729,Open,137 New and Renewal 1,Category 1,10/27/2010 12:00:00 AM,2,6,22,43,11/03/2012 12:00:00 AM
ANGEL'S FILIPINO RESTAURANT,BELINDA T. ELLIS,(808)391-9689,13825,"LEOKU STREET
WAIPAHU, HAWAII 96797
(21.377940326708565, -158.02342611499094)",LEOKU STREET ,   ,WAIPAHU,HAWAII,96797,"KAMIKI STREET
WAIPAHU, HAWAII 96797
(21.39825871289399, -158.03555553356284)",KAMIKI STREET ,   ,WAIPAHU,HAWAII,96797,  BELINDA ELLIS,,13825,Open,137 New and Renewal 3,Category 3,06/22/2010 12:00:00 AM,9,4,47,27,"June 19"", ""2014"
LOCO MOCO DRIVE INN #1,"MILILANI REGAL INVESTMENT, INC.",(808)429-3810,2573,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,186,MILILANI,HAWAII,96789,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY,186,MILILANI,HAWAII,96789,,,2573,Open,137 New and Renewal 1,Category 1,12/16/2011 12:00:00 AM,9,5,1,81,12/19/2013 12:00:00 AM
"SAMURAI SNACKS AIEA, LLC","SAMURAI SNACKS AIEA, LLC",(808)484-2200,8937,"AIEA HEIGHTS DRIVE
AIEA, HAWAII 96701
(21.3798999048238, -157.92917909123395)",AIEA HEIGHTS DRIVE,106,AIEA,HAWAII,96701,"MAKALAPUA PLACE
HONOLULU, HAWAII 96817
(21.329437964178283, -157.8690467504106)",MAKALAPUA PLACE ,   ,HONOLULU,HAWAII,96817,,,8937,Open,137 New and Renewal 3,Category 3,09/27/2011 12:00:00 AM,9,9,42,59,09/27/2013 12:00:00 AM
LONGS DRUG STORE #9182,"LONGS DRUG STORES CALIFORNIA, LLC",(401)770-3315,13182,"BISHOP STREET
HONOLULU, HAWAII 96813
(21.307023335654208, -157.86366799399445)",BISHOP STREET ,   ,HONOLULU,HAWAII,96813,"CVS DRIVE
WOONSOCKET, RHODE ISLAND 02895
(41.99328374986648, -71.47787104268498)",CVS DRIVE ,MAIL DROP #23062A  ,WOONSOCKET,RHODE ISLAND,2895, LICENSING DEPARTMENT,,13182,Open,137 New and Renewal 3,Category 3,09/13/2011 12:00:00 AM,2,1,12,4,09/11/2013 12:00:00 AM
EDIBLE ARRANGEMENTS,"LEE CHRISTOPHER, LLC",(808)988-3784,10220,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE ,5-116,HONOLULU,HAWAII,96822,"WOODLAWN DRIVE
HONOLULU, HAWAII 96822
(21.30718330212897, -157.81032287478018)",WOODLAWN DRIVE ,5-116,HONOLULU,HAWAII,96822,,,10220,Open,137 New and Renewal 3,Category 3,07/11/2011 12:00:00 AM,2,9,22,1,08/01/2013 12:00:00 AM
TOKYO TOKYO RESTAURANT,"ASAHI CREATE USA, INC.",,8201,"KAHALA AVENUE
HONOLULU, HAWAII 96816
(21.260024766402978, -157.79280591469578)",KAHALA AVENUE ,   ,HONOLULU,HAWAII,96816,"KAHALA AVENUE
HONOLULU, HAWAII 96816
(21.260024766402978, -157.79280591469578)",KAHALA AVENUE ,   ,HONOLULU,HAWAII,96816,,,8201,Open,137 New and Renewal 1,Category 1,09/27/2010 12:00:00 AM,3,5,23,39,09/23/2012 12:00:00 AM
PONO FRESH,MICHELE MAEDA,(808)781-2704,14376,"UMI STREET
HONOLULU, HAWAII 96819
(21.333609051500428, -157.88304952735677)",UMI STREET ,   ,HONOLULU,HAWAII,96819,"HONOLULU, HAWAII 96823
(21.304220000153066, -157.8439600003536)",,   ,HONOLULU,HAWAII,96823,  MICHELE MAEDA,235975,14376,Open,137 New and Renewal 3,Category 3,01/25/2011 12:00:00 AM,1,2,14,57,01/25/2013 12:00:00 AM
"ADRIATIC FOODS, LLC",VUKASIN SABAN,(808)368-2472,15544,"NUUANU AVENUE
HONOLULU, HAWAII 96813
(21.310000091571197, -157.86425704992365)",NUUANU AVENUE ,,HONOLULU,HAWAII,96813,"KALAKAUA AVENUE
HONOLULU, HAWAII 96826
(21.299226299579416, -157.8367114628181)",KALAKAUA AVENUE,,HONOLULU,HAWAII,96826,VUKASIN SABAN,,15544,Open,137 New and Renewal 3,Category 3,06/08/2012 12:00:00 AM,2,1,3,16,11/10/2013 12:00:00 AM
P & E FOODS @ UNICOLD,"P & E FOODS, INC.",(808)839-9094,12402,"KOAPAKA STREET
HONOLULU, HAWAII 96819
(21.334992480660844, -157.90790942814314)",KOAPAKA STREET ,202,HONOLULU,HAWAII,96819,"KOAPAKA STREET
HONOLULU, HAWAII 96819
(21.334992480660844, -157.90790942814314)",KOAPAKA STREET ,202,HONOLULU,HAWAII,96819,,,12402,Open,137 New and Renewal 3,Category 3,08/23/2010 12:00:00 AM,1,1,14,39,"September 10"", ""2014"
IHOP WAIKIKI,VSE WAIKIKI LLC,(808)387-8280,9461,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE ,   ,HONOLULU,HAWAII,96815,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96815
(21.285143580295973, -157.83477418661556)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96815, SARAH ESPINO,,9461,Open,137 New and Renewal 1,Category 1,05/27/2010 12:00:00 AM,2,6,19,21,"June 19"", ""2014"
SAKURA HOUSE ADULT DAY CARE PROGRAM,FINE MEDICAL U.S.A. CORPORATION,(808)536-1112,12708,"MOTT-SMITH DRIVE
HONOLULU, HAWAII 96822
(21.313796401823804, -157.8343647746301)",MOTT-SMITH DRIVE ,   ,HONOLULU,HAWAII,96822,"MOTT-SMITH DRIVE
HONOLULU, HAWAII 96822
(21.313796401823804, -157.8343647746301)",MOTT-SMITH DRIVE ,   ,HONOLULU,HAWAII,96822,,,12708,Open,137 New and Renewal 3,Category 3,05/02/2011 12:00:00 AM,2,4,30,18,02/02/2013 12:00:00 AM
GIOVANNI'S ALOHA SHRIMP KAHUKU TRUCK,"LUCKY U ENTERPRISES, INC.",(808)677-1604,9229,"KAMEHAMEHA HIGHWAY
KAHUKU, HAWAII 96731
(21.697352046851734, -157.98537795533906)",KAMEHAMEHA HIGHWAY ,   ,KAHUKU,HAWAII,96731,"KAHUKU, HAWAII 96731
(21.685190000418345, -157.97136999972557)",,   ,KAHUKU,HAWAII,96731,,427,9229,Open,137 New and Renewal 3,Category 3,01/12/2012 12:00:00 AM,5,6,2,12,12/09/2013 12:00:00 AM
LIN'S CRAFTS,RAYMOND C.K. CHUN,(808)722-9986,13606,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,A-108,HONOLULU,HAWAII,96817,"DILLINGHAM BOULEVARD
HONOLULU, HAWAII 96817
(21.322066389208402, -157.87311702739916)",DILLINGHAM BOULEVARD ,A-108,HONOLULU,HAWAII,96817,,,13606,Open,137 New and Renewal 3,Category 3,"Mar 19"", ""2012",1,5,20,1,03/19/2014 12:00:00 AM
7 ELEVEN STORE #54128,"SEVEN ELEVEN HAWAII, INC.",(808)526-1711,11668,"FARRINGTON HIGHWAY
WAIANAE, HAWAII 96792
(21.550628469071547, -158.24337315456913)",FARRINGTON HIGHWAY ,   ,WAIANAE,HAWAII,96792,"NUUANU AVENUE
HONOLULU, HAWAII 96817
(21.310000091571197, -157.86425704992365)",NUUANU AVENUE ,2ND FLOOR   ,HONOLULU,HAWAII,96817, MASAE DOTE,,11668,Open,137 New and Renewal 2,Category 2,08/31/2011 12:00:00 AM,8,5,18,18,09/09/2013 12:00:00 AM
KRISTEN'S KITCHEN,TENRUS CORP.,(808)678-2529,4061,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY ,   ,WAIPAHU,HAWAII,96797,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY ,   ,WAIPAHU,HAWAII,96797,,,4061,Open,137 New and Renewal 1,Category 1,05/04/2011 12:00:00 AM,9,4,19,1,05/25/2013 12:00:00 AM
HINA MAUKA,HINA MAUKA,(808)236-2600,1779,"POOKELA STREET
KANEOHE, HAWAII 96744
(21.405558972681764, -157.80994896679573)",POOKELA STREET ,   ,KANEOHE,HAWAII,96744,"POOKELA STREET
KANEOHE, HAWAII 96744
(21.405558972681764, -157.80994896679573)",POOKELA STREET ,   ,KANEOHE,HAWAII,96744,,,1779,Open,137 New and Renewal 1,Category 1,09/20/2011 12:00:00 AM,4,5,23,2,09/25/2013 12:00:00 AM
"CHEAP MARKET, INC.","CHEAP MARKET, INC.",(808)782-8829,13942,"KEKAULIKE STREET
HONOLULU, HAWAII 96817
(21.312201176488244, -157.8649726608735)",KEKAULIKE STREET ,102 & 103  ,HONOLULU,HAWAII,96817,"KEKAULIKE STREET
HONOLULU, HAWAII 96817
(21.312201176488244, -157.8649726608735)",KEKAULIKE STREET ,102,HONOLULU,HAWAII,96817,,,13942,Open,137 New and Renewal 3,Category 3,08/13/2010 12:00:00 AM,1,7,3,,"August 13"", ""2014"
"NUUANU PRE-SCHOOL, INC.","NUUANU PRE-SCHOOL, INC.",(808)595-2700,14080,"COELHO WAY
HONOLULU, HAWAII 96817
(21.328951096550792, -157.84547001605284)",COELHO WAY ,   ,HONOLULU,HAWAII,96817,"COELHO WAY
HONOLULU, HAWAII 96817
(21.328951096550792, -157.84547001605284)",COELHO WAY ,   ,HONOLULU,HAWAII,96817,,,14080,Open,137 New and Renewal 2,Category 2,10/01/2010 12:00:00 AM,1,8,6,25,10/01/2012 12:00:00 AM
J. W. MARRIOTT IHILANI RESORT & SPA USHIO TEI,"MARRIOTT HOTEL SERVICES, INC.",(808)679-0079,5150,"OLANI STREET
KAPOLEI, HAWAII 96707
(21.342537562591247, -158.12307743334605)",OLANI STREET ,   ,KAPOLEI,HAWAII,96707,"OLANI STREET
KAPOLEI, HAWAII 96707
(21.342537562591247, -158.12307743334605)",OLANI STREET ,   ,KAPOLEI,HAWAII,96707,,,5150,Open,137 New and Renewal 1,Category 1,09/26/2011 12:00:00 AM,9,1,57,1,10/08/2013 12:00:00 AM
"SALVATION ARMY ADDICTION TREATMENT SERVICES, THE",THE SALVATION ARMY,(808)595-5805,824,"WAOKANAKA STREET
HONOLULU, HAWAII 96817
(21.345114503244567, -157.83124922113157)",WAOKANAKA STREET ,   ,HONOLULU,HAWAII,96817,"WAOKANAKA STREET
HONOLULU, HAWAII 96817
(21.345114503244567, -157.83124922113157)",WAOKANAKA STREET ,   ,HONOLULU,HAWAII,96817,,,824,Open,137 New and Renewal 1,Category 1,04/12/2011 12:00:00 AM,1,9,2,8,04/28/2013 12:00:00 AM
RAINBOW SCHOOL,"RAINBOW SCHOOL, INC.",(808)293-9341,1243,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,"CALIFORNIA AVENUE
WAHIAWA, HAWAII 96786
(21.49588995502748, -158.02980424907722)",CALIFORNIA AVENUE ,   ,WAHIAWA,HAWAII,96786,,,1243,Open,137 New and Renewal 3,Category 3,05/31/2011 12:00:00 AM,7,3,19,14,06/23/2013 12:00:00 AM
NET CAFÃ‰,HYUNG JUN KWON,(808)955-9736,9997,"MAKALOA STREET
HONOLULU, HAWAII 96814
(21.29383170762512, -157.84214931790567)",MAKALOA STREET ,1532,HONOLULU,HAWAII,96814,"MAKALOA STREET
HONOLULU, HAWAII 96814
(21.29383170762512, -157.84214931790567)",MAKALOA STREET ,1532,HONOLULU,HAWAII,96814,,,9997,Open,137 New and Renewal 2,Category 2,03/16/2011 12:00:00 AM,2,3,21,27,03/29/2013 12:00:00 AM
WASHINGTON MIDDLE SCHOOL,DEPARTMENT OF EDUCATION,(808)973-0182,2027,"SOUTH KING STREET